,Database,Dealer,Cloud Partner,Training Provided,Recently updated,Catalog Type,Region,Licence Security,Catalog Locking,Licence Protection,TechSupport,Cloud Pulished,GSV added,Contract,PaperlessBilling,PaymentMethod,MonthlyHours,TotalHours,Churn,tenure_group
6251,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Electronic check,19.25,19.25,0,1 - 12
6252,Common,0,Yes,Yes,No,Countertop,ROAP,Yes,No,No,No,Yes,No,T&M,Yes,Credit card (automatic),39.45,2021.35,0,49 - 60
6253,DFM,0,No,No,No,Countertop,ROAP,No,No,No,No,Yes,Yes,T&M,Yes,Credit card (automatic),44.85,2564.95,0,49 - 60
6254,DFM,0,Yes,No,Yes,Cabinetry,North America,Yes,No,No,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,97.2,5611.75,0,49 - 60
6255,Common,1,Yes,No,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,AMC,Yes,Mailed check,110.55,7610.1,0,61 - 72
6256,DFM,0,No,No,No,Countertop,ROAP,No,No,No,No,No,Yes,T&M,No,Mailed check,35.05,35.05,1,1 - 12
6257,DFM,1,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,73.0,73.0,1,1 - 12
6258,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,19.9,45.75,0,1 - 12
6259,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,No,Yes,No,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),76.95,4543.95,0,49 - 60
6260,DFM,0,No,No,No,Countertop,ROAP,No,No,Yes,Yes,No,No,Fixed Price,No,Mailed check,35.4,450.4,0,13 - 24
6261,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.45,1297.35,0,61 - 72
6262,DFM,0,No,No,Yes,Appliance,North America,Yes,Yes,No,No,No,Yes,AMC,No,Bank transfer (automatic),96.75,4442.75,0,37 - 48
6263,DFM,0,No,No,No,Countertop,ROAP,No,No,Yes,Yes,Yes,Yes,AMC,No,Electronic check,54.2,1423.15,0,25 - 36
6264,Common,0,No,No,Yes,Cabinetry,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,No,Bank transfer (automatic),100.1,4378.35,0,37 - 48
6265,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Mailed check,45.25,74.2,0,1 - 12
6266,Common,1,No,No,Yes,Appliance,North America,No,Yes,Yes,No,No,No,T&M,Yes,Credit card (automatic),83.85,2716.3,1,25 - 36
6267,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,70.1,70.1,1,1 - 12
6268,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Bank transfer (automatic),20.85,450.65,0,13 - 24
6269,DFM,0,No,No,No,Countertop,ROAP,No,No,Yes,Yes,No,No,T&M,Yes,Mailed check,33.45,1175.85,0,25 - 36
6270,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,20.2,558.8,0,25 - 36
6271,Common,1,Yes,No,Yes,Appliance,North America,Yes,No,Yes,No,No,No,AMC,Yes,Electronic check,85.9,2220.1,0,25 - 36
6272,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,No,No,AMC,Yes,Electronic check,61.0,3283.05,0,49 - 60
6273,DFM,1,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,70.65,142.35,1,1 - 12
6274,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,No,AMC,Yes,Electronic check,86.9,4939.25,0,49 - 60
6275,Common,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,No,No,Fixed Price,No,Bank transfer (automatic),69.4,4237.5,0,61 - 72
6276,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Credit card (automatic),20.35,335.95,0,13 - 24
6277,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.35,33.2,1,1 - 12
6278,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),104.3,7188.5,0,61 - 72
6279,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,No,No,No,No,T&M,Yes,Electronic check,44.95,926.25,0,13 - 24
6280,DFM,0,No,Yes,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,AMC,Yes,Electronic check,49.45,1119.35,0,13 - 24
6281,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.6,116.6,0,1 - 12
6282,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.55,68.8,0,1 - 12
6283,DFM,0,No,No,Yes,Cabinetry,North America,Yes,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),99.0,287.4,1,1 - 12
6284,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,93.5,2341.55,0,13 - 24
6285,Common,0,No,No,No,Countertop,ROAP,Yes,No,No,Yes,Yes,Yes,AMC,No,Credit card (automatic),54.55,1362.85,0,25 - 36
6286,DFM,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.05,163.6,0,1 - 12
6287,Common,0,No,No,Yes,Appliance,North America,No,No,No,No,No,Yes,T&M,Yes,Electronic check,83.95,2254.2,1,25 - 36
6288,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,79.45,145.15,0,1 - 12
6289,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),116.2,7752.3,1,61 - 72
6290,DFM,0,Yes,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),93.7,6585.35,1,61 - 72
6291,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,No,Yes,AMC,No,Credit card (automatic),79.85,4786.1,0,49 - 60
6292,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,No,Electronic check,100.0,3835.55,0,37 - 48
6293,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,19.6,397.0,0,13 - 24
6294,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.7,19.7,1,1 - 12
6295,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),20.2,1027.25,0,37 - 48
6296,DFM,1,Yes,No,No,Countertop,ROAP,Yes,Yes,Yes,No,No,Yes,AMC,Yes,Credit card (automatic),50.4,1580.1,0,25 - 36
6297,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,AMC,No,Electronic check,113.35,7222.75,0,61 - 72
6298,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),80.0,3769.7,0,37 - 48
6299,DFM,0,No,No,Yes,Appliance,ROAP,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),80.95,4233.95,0,49 - 60
6300,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,24.9,1680.25,0,61 - 72
6301,DFM,1,No,No,Yes,Appliance,ROAP,No,Yes,No,No,No,No,T&M,No,Electronic check,54.9,3725.5,0,61 - 72
6302,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,No,Electronic check,75.55,413.65,1,1 - 12
6303,DFM,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Electronic check,109.25,7707.7,0,61 - 72
6304,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Bank transfer (automatic),77.65,714.15,1,1 - 12
6305,DFM,1,No,No,Yes,Appliance,North America,Yes,Yes,No,No,No,Yes,T&M,Yes,Electronic check,95.0,2497.2,1,25 - 36
6306,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Bank transfer (automatic),116.3,8309.55,0,61 - 72
6307,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),19.9,601.55,0,25 - 36
6308,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Electronic check,70.35,139.25,0,1 - 12
6309,DFM,0,Yes,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.6,1888.25,0,61 - 72
6310,DFM,0,No,No,No,Countertop,ROAP,Yes,No,Yes,No,No,Yes,AMC,Yes,Electronic check,44.45,2773.9,0,49 - 60
6311,DFM,1,No,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,AMC,Yes,Electronic check,100.15,5409.75,0,49 - 60
6312,Common,0,No,No,Yes,Cabinetry,North America,Yes,Yes,No,Yes,Yes,Yes,AMC,Yes,Credit card (automatic),105.4,5643.4,1,49 - 60
6313,Common,0,No,No,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,95.85,197.7,1,1 - 12
6314,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,73.85,401.3,0,1 - 12
6315,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,No,No,Yes,Fixed Price,Yes,Credit card (automatic),70.1,3238.4,0,37 - 48
6316,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Mailed check,25.25,1573.05,0,61 - 72
6317,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Electronic check,79.15,79.15,1,1 - 12
6318,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Credit card (automatic),21.05,235.8,0,1 - 12
6319,Common,1,Yes,No,No,Countertop,ROAP,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),24.95,1364.75,0,49 - 60
6320,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,No,No,Yes,Yes,Yes,No,AMC,Yes,Electronic check,64.5,1985.15,0,25 - 36
6321,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Bank transfer (automatic),19.65,655.85,1,25 - 36
6322,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,Yes,No,T&M,Yes,Electronic check,79.0,303.15,1,1 - 12
6323,DFM,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Credit card (automatic),105.95,4335.2,0,37 - 48
6324,DFM,0,Yes,Yes,Yes,Cabinetry,North America,No,No,No,Yes,No,No,T&M,Yes,Electronic check,75.85,647.5,0,1 - 12
6325,DFM,0,Yes,Yes,Yes,Cabinetry,North America,Yes,No,No,Yes,Yes,No,T&M,No,Electronic check,91.85,1574.45,1,13 - 24
6326,DFM,0,No,No,No,Countertop,ROAP,No,Yes,Yes,No,No,Yes,Fixed Price,Yes,Credit card (automatic),43.6,2748.7,0,61 - 72
6327,Common,0,No,No,Yes,Cabinetry,North America,No,Yes,No,Yes,Yes,No,AMC,Yes,Bank transfer (automatic),91.25,2483.65,0,25 - 36
6328,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),89.75,6367.2,0,61 - 72
6329,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),104.4,4904.2,0,37 - 48
6330,DFM,0,Yes,No,Yes,Appliance,North America,No,No,Yes,No,No,Yes,T&M,No,Mailed check,90.15,2044.95,0,13 - 24
6331,Common,0,Yes,Yes,No,Countertop,ROAP,Yes,No,Yes,Yes,No,No,AMC,No,Electronic check,40.3,1794.8,0,37 - 48
6332,Common,0,Yes,Yes,Yes,Cabinetry,North America,Yes,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),105.25,7173.15,0,61 - 72
6333,DFM,1,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Electronic check,106.0,6441.4,1,49 - 60
6334,DFM,0,No,Yes,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,104.0,7039.05,0,61 - 72
6335,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,Yes,Yes,Yes,T&M,Yes,Electronic check,69.65,921.4,0,13 - 24
6336,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,74.3,4018.35,0,49 - 60
6337,DFM,0,Yes,Yes,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,AMC,No,Mailed check,100.9,5448.6,0,49 - 60
6338,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.25,20.25,0,1 - 12
6339,Common,0,No,Yes,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,Yes,Mailed check,49.9,49.9,1,1 - 12
6340,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,No,T&M,Yes,Credit card (automatic),96.9,2085.45,0,13 - 24
6341,DFM,0,No,No,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,T&M,Yes,Electronic check,100.35,1358.85,1,13 - 24
6342,Common,0,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,104.1,5135.15,0,37 - 48
6343,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.1,730.1,0,37 - 48
6344,DFM,1,Yes,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),74.95,2869.85,1,37 - 48
6345,DFM,1,No,No,Yes,Appliance,ROAP,No,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),56.55,118.25,0,1 - 12
6346,Common,1,Yes,Yes,Yes,Cabinetry,ROAP,No,No,No,Yes,No,No,T&M,Yes,Credit card (automatic),49.25,49.25,1,1 - 12
6347,Common,0,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Bank transfer (automatic),68.6,1108.6,0,13 - 24
6348,DFM,0,No,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,Yes,Credit card (automatic),69.05,1815.65,0,25 - 36
6349,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.7,730.4,0,25 - 36
6350,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.05,75.45,0,1 - 12
6351,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,No,Yes,Yes,Yes,T&M,No,Electronic check,103.7,5071.05,1,49 - 60
6352,Common,0,Yes,No,Yes,Appliance,North America,Yes,No,Yes,No,No,Yes,T&M,Yes,Electronic check,94.4,4014.6,0,37 - 48
6353,Common,0,Yes,No,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,T&M,Yes,Credit card (automatic),54.95,568.85,0,1 - 12
6354,DFM,0,Yes,No,Yes,Cabinetry,North America,Yes,Yes,No,Yes,No,Yes,AMC,No,Bank transfer (automatic),93.7,5860.7,0,61 - 72
6355,DFM,0,No,No,Yes,Appliance,North America,Yes,Yes,No,Yes,Yes,Yes,Fixed Price,No,Credit card (automatic),110.25,7279.35,0,61 - 72
6356,Common,0,No,No,Yes,Cabinetry,North America,Yes,No,Yes,No,Yes,Yes,AMC,Yes,Electronic check,98.9,1064.95,0,1 - 12
6357,Common,0,Yes,No,Yes,Appliance,North America,Yes,Yes,Yes,No,No,No,AMC,No,Electronic check,89.75,5769.6,1,61 - 72
6358,DFM,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),80.45,5886.85,0,61 - 72
6359,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,No,Yes,No,No,T&M,No,Electronic check,79.4,4238.45,0,49 - 60
6360,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,Yes,Mailed check,20.3,20.3,1,1 - 12
6361,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,Yes,T&M,No,Bank transfer (automatic),62.8,418.3,0,1 - 12
6362,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Mailed check,74.9,136.05,0,1 - 12
6363,DFM,0,No,No,Yes,Cabinetry,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,74.85,708.2,0,1 - 12
6364,Common,0,No,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Credit card (automatic),25.85,788.55,0,25 - 36
6365,Common,1,Yes,No,Yes,Appliance,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Electronic check,101.95,700.85,1,1 - 12
6366,DFM,0,Yes,No,Yes,Cabinetry,ROAP,No,Yes,Yes,Yes,No,Yes,Fixed Price,Yes,Mailed check,68.3,4378.8,0,61 - 72
6367,Common,0,No,No,No,Countertop,ROAP,Yes,No,Yes,Yes,No,Yes,Fixed Price,No,Bank transfer (automatic),48.4,3442.8,0,61 - 72
6368,Common,1,No,No,Yes,Appliance,North America,No,No,No,No,Yes,Yes,T&M,Yes,Electronic check,94.0,181.7,1,1 - 12
6369,Common,1,No,No,Yes,Cabinetry,North America,Yes,Yes,No,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,105.05,7171.7,0,61 - 72
6370,DFM,0,No,No,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Credit card (automatic),89.3,4016.85,1,37 - 48
6371,DFM,0,No,No,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.15,553.0,0,13 - 24
6372,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.5,96.85,0,1 - 12
6373,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,No,Yes,No,Yes,Yes,T&M,Yes,Bank transfer (automatic),92.95,4122.9,0,37 - 48
6374,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,Yes,Mailed check,20.7,1482.3,0,61 - 72
6375,DFM,0,No,No,Yes,Cabinetry,North America,No,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),74.3,74.3,1,1 - 12
6376,Common,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Bank transfer (automatic),19.35,1240.8,0,61 - 72
6377,Common,0,No,No,No,Countertop,ROAP,No,Yes,No,Yes,No,Yes,T&M,Yes,Mailed check,44.65,44.65,1,1 - 12
6378,Common,0,Yes,Yes,Yes,Cabinetry,North America,Yes,No,No,No,No,Yes,T&M,No,Electronic check,84.05,1095.3,1,13 - 24
6379,Common,0,No,No,Yes,Appliance,North America,No,Yes,No,No,No,No,T&M,Yes,Bank transfer (automatic),80.7,788.8,1,1 - 12
6380,Common,1,Yes,No,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,T&M,Yes,Electronic check,104.35,6578.55,0,61 - 72
6381,Common,0,No,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,19.55,19.55,0,1 - 12
6382,Common,0,Yes,Yes,Yes,Cabinetry,ROAP,Yes,Yes,Yes,Yes,Yes,No,AMC,No,Electronic check,74.05,2802.3,0,37 - 48
6383,Common,0,No,Yes,No,Countertop,ROAP,Yes,No,Yes,Yes,No,No,Fixed Price,No,Mailed check,40.1,857.75,0,13 - 24
6384,DFM,0,Yes,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,No,Mailed check,20.1,184.4,0,1 - 12
6385,Common,0,No,Yes,Yes,Appliance,North America,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,101.7,364.55,1,1 - 12
6386,Common,0,Yes,Yes,Yes,Appliance,ROAP,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Credit card (automatic),83.55,6093.3,0,61 - 72
6387,DFM,0,Yes,No,Yes,Cabinetry,ROAP,No,Yes,No,Yes,No,No,T&M,No,Electronic check,56.85,1861.1,0,25 - 36
6388,DFM,0,No,No,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,T&M,No,Mailed check,20.4,20.4,1,1 - 12
6389,DFM,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),19.55,1079.65,0,49 - 60
6390,Common,0,Yes,Yes,Yes,Cabinetry,North America,No,Yes,Yes,Yes,Yes,Yes,AMC,Yes,Electronic check,106.15,7475.1,0,61 - 72
6391,Common,0,Yes,Yes,Yes,Appliance,ROAP,No,Yes,Yes,No,Yes,Yes,AMC,No,Credit card (automatic),78.95,2862.55,0,37 - 48
6392,DFM,0,Yes,Yes,No,Countertop,ROAP,No,Yes,No,No,Yes,Yes,T&M,Yes,Electronic check,49.75,3069.45,0,49 - 60
6393,Common,0,No,No,Yes,Appliance,North America,Yes,Yes,No,No,Yes,No,T&M,Yes,Credit card (automatic),92.4,2349.8,0,25 - 36
6394,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,No,No,AMC,No,Bank transfer (automatic),58.2,469.25,0,1 - 12
6395,Common,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Electronic check,102.6,4213.35,1,37 - 48
6396,DFM,1,Yes,No,Yes,Appliance,North America,No,Yes,No,No,Yes,No,T&M,Yes,Credit card (automatic),91.95,3301.05,0,25 - 36
6397,Common,1,No,No,Yes,Cabinetry,ROAP,No,No,Yes,Yes,No,Yes,AMC,No,Bank transfer (automatic),65.25,3529.95,0,49 - 60
6398,Common,0,Yes,Yes,Yes,Appliance,North America,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),106.0,7723.7,1,61 - 72
6399,DFM,0,No,No,Yes,Appliance,North America,No,No,No,No,No,No,T&M,Yes,Electronic check,73.1,4144.9,0,49 - 60
6400,DFM,0,No,No,Yes,Appliance,ROAP,Yes,Yes,No,No,No,No,Fixed Price,No,Bank transfer (automatic),59.75,4265.0,0,61 - 72
6401,DFM,0,No,Yes,Yes,Cabinetry,ROAP,Yes,No,No,Yes,No,No,T&M,Yes,Mailed check,55.1,154.65,1,1 - 12
6402,DFM,0,Yes,Yes,Yes,Appliance,ROAP,No,Yes,Yes,No,No,No,Fixed Price,Yes,Bank transfer (automatic),59.8,3246.45,0,49 - 60
6403,Common,0,Yes,Yes,Yes,Appliance,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),116.6,8337.45,0,61 - 72
6404,Common,0,No,No,Yes,Appliance,North America,Yes,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Electronic check,109.3,5731.4,0,49 - 60
6405,DFM,1,No,No,Yes,Appliance,North America,Yes,No,No,No,Yes,Yes,AMC,Yes,Bank transfer (automatic),101.4,6176.6,0,49 - 60
6406,DFM,0,No,No,No,Countertop,ROAP,No,No,Yes,No,Yes,Yes,T&M,Yes,Credit card (automatic),50.65,1905.4,0,37 - 48
6407,DFM,0,No,No,Yes,Cabinetry,ROAP,No,No,No,No,Yes,No,AMC,No,Mailed check,56.15,931.9,0,13 - 24
6408,Common,0,No,No,Yes,Appliance,North America,No,No,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),106.5,7348.8,1,61 - 72
6409,Common,0,Yes,Yes,Yes,Cabinetry,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,AMC,Yes,Mailed check,19.2,776.25,0,37 - 48
6410,DFM,1,No,No,Yes,Appliance,ROAP,Yes,Yes,Yes,Yes,Yes,No,AMC,No,Bank transfer (automatic),83.0,5243.05,0,61 - 72
6411,Common,1,Yes,No,Yes,Cabinetry,North America,No,No,No,No,No,No,T&M,No,Electronic check,70.1,141.65,0,1 - 12
6412,DFM,0,Yes,Yes,Yes,Cabinetry,North America,Yes,Yes,Yes,Yes,Yes,Yes,Fixed Price,Yes,Bank transfer (automatic),108.3,7679.65,0,61 - 72
6413,DFM,0,Yes,Yes,Yes,Appliance,North America,No,No,Yes,No,No,Yes,T&M,Yes,Bank transfer (automatic),91.05,2954.5,1,25 - 36
6414,Common,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),25.25,1006.9,0,37 - 48
6415,DFM,0,Yes,No,No,Countertop,ROAP,Yes,Yes,No,No,Yes,No,AMC,Yes,Electronic check,45.35,2540.1,0,49 - 60
6416,Common,0,No,No,No,Countertop,ROAP,Yes,No,No,Yes,Yes,No,Fixed Price,No,Electronic check,43.9,3097.2,0,61 - 72
6417,DFM,1,Yes,No,Yes,Appliance,North America,Yes,No,No,No,No,No,T&M,Yes,Electronic check,77.5,3807.35,1,49 - 60
6418,Common,0,Yes,No,Yes,Appliance,ROAP,No,No,Yes,Yes,Yes,Yes,AMC,Yes,Mailed check,79.3,2484.0,0,25 - 36
6419,Common,1,Yes,No,Yes,Appliance,North America,Yes,Yes,No,No,No,No,T&M,Yes,Credit card (automatic),84.9,5785.65,0,61 - 72
6420,Common,0,Yes,No,Yes,Appliance,North America,No,No,No,Yes,No,No,AMC,Yes,Electronic check,79.25,2619.15,0,25 - 36
6421,DFM,0,No,No,Yes,Cabinetry,ROAP,Yes,Yes,No,Yes,Yes,No,Fixed Price,No,Credit card (automatic),71.05,1524.85,0,13 - 24
6422,Common,0,No,No,Yes,Cabinetry,ROAP,Yes,No,Yes,No,No,No,AMC,No,Electronic check,53.75,2790.65,0,49 - 60
6423,DFM,0,Yes,Yes,Yes,Appliance,EMEA,No internet service,No,No internet service,No internet service,No internet service,No,Fixed Price,No,Credit card (automatic),24.25,1784.5,0,61 - 72
6424,DFM,0,Yes,No,No,Countertop,ROAP,No,Yes,Yes,No,Yes,Yes,Fixed Price,Yes,Electronic check,54.2,3937.45,1,61 - 72
6425,Common,0,Yes,Yes,No,Countertop,ROAP,Yes,No,Yes,No,No,Yes,AMC,No,Bank transfer (automatic),44.25,2276.1,0,49 - 60
